Name,Location,Salary,Description,desc_len,max_salary,min_salary,avg_salary
Zehntech,Indore,2 - 5 ,"Technical expertise with data models, data mining, and segmentation techniques. Analyze and organize raw data. Build data systems and pipelines.…",145,2,5,3.5
Airtel India,Gurgaon,200.00 Per hour ,"Design, run and analyze A/B and multivariate hypothesis tests aimed at optimizing customer experience, business KPIs and product funnels.…",138,200,200,200.0
Fractal Analytics,Bengaluru,7 - 10 ,"At least 3-5 years of experience in a Machine Learning or data science role, with a proven track record of developing and deploying models that have driven……",157,7,10,8.5
InitiateFirst.,Bengaluru,5 - 8 ,"Skill Set: Data Science (Python, ML, Cloud). Experience with Python programming language. Experience in machine learning model development.…",140,5,8,6.5
Cencora,Pune,93 - 4 ,"Works with other team members to include accurate and relevant data for machine learning models, including identification of potential proxy data sources, and……",160,93,4,48.5
Sidel,Pune,5 - 10 ,"Part of advanced data analytics team, he/she must work in collaboration with experts and will support with insights gained from analyzing data.…",144,5,10,7.5
Maruti Suzuki India Ltd,New Delhi,4 ,Ability to create and gain buy-in for novel ideas with the main motive to produce a working model that can help business make effective data driven decisions.…,159,4,4,4.0
HUBWORK,India,20 - 30 ,A Natural Language Processing (NLP) expert with strong computer science fundamentals and experience in working with deep learning frameworks.…,142,20,30,25.0
Indium Software,Chennai,1 - 8 ,"Should be an individual contributor for an initial few months based on project movement team will be aligned. Analytics with predominant experience in SQL, SAS,……",162,1,8,4.5
Hub Work,Pune,20 - 35 ,Any graduation with at least 2 years of demonstrated experience as a Data Scientist. A Natural Language Processing (NLP) expert with strong computer science……,158,20,35,27.5
Citi,Bengaluru,4 - 5 ,The North America Consumer Bank – Data Science and Modeling team analyzes millions of prospects and billions of customer level transactions using big data tools……,162,4,5,4.5
Neosoft Technologies Pvt.Ltd,Mumbai,4 - 6 ,Data Science / Data Engineering / ETL Developer (2-8 Years). AI / ML Developer (2-8 Years). Tech Lead - Data Science (5-10 Years).…,131,4,6,5.0
Microsoft,Hyderābād,2 - 9 ,Transforms formulated problems into implementation plans to develop risk models to predict customer churn by designing and applying appropriate decision-making……,161,2,9,5.5
Nuware Systems,Bengaluru,6 - 10 ,"Data Scientist with Machine Learning, Python & R Programming Experience. Good Attitude and Communication skills, SQL, Excel Macros.…",132,6,10,8.0
Career Skills Education & Research Foundation,Vadodara,5 - 6 ,"Responsibilities: Candidate should have Hand-on experience on Python, SQL, Data Analytics Candidate should have exposure to Python, data analytics, data science……",162,5,6,5.5
Udacity,Noida,3 - 5 ,"As an inspiring analyst, you learn business acumen to combine with you data skills. You will work to ensure that business objectives and strategy are supported……",161,3,5,4.0
GSK,Bengaluru,4 - 9 ,If you come across unsolicited email from email addresses not ending in gsk.com or job advertisements which state that you should contact an email address that……,161,4,9,6.5
Eclature Technologies,Hyderābād,2 - 4 ,"Strong trained knowledge in devising/enhancing machine learned (DL, NN) algorithms and data mining techniques for solving complex Big Data and enabling key……",157,2,4,3.0
SkillCircle,New Delhi,5 - 8 ,Stay up to date with the latest industry trends and further incorporate them into the training content structure. Collaborate with stakeholders and trainers.…,158,5,8,6.5
IronList,Ahmedabad,3 - 6 ,Identify valuable data sources and automate collection processesUndertake preprocessing of structured and unstructured dataAnalyze large amounts of information……,161,3,6,4.5
Blue Yonder,Bengaluru,10 - 11 ,Enhancing data collection procedures to include information that is relevant for building analytic systems. Extending company’s data with third party sources of……,162,10,11,10.5
Tokopedia,Noida,3 ,Collaborate with team members from data science and other teams to develop data science solutions. Development of APIs from data science models.…,145,3,3,3.0
Secure Meters,Udaipur,4 - 7 ,"Udaipur, Rajasthan 7 - 12 Yrs INR 0 - 0 LPA MCA,B.E./B.Tech Job description We currently have multiple openings, at various levels, in our Analyst - Data……",155,4,7,5.5
Tata AIA Life,Thāne,10 ,Have an innovative mindset to challenge existing solutions on their inefficiency and provide better alternatives. DevOps tools implementation for CI/CD.…,153,10,10,10.0
Happymonk Technology Pvt Ltd,Bengaluru,10 ,"Help the team to build analytics tools that utilize the data pipeline to provide actionable insights into customer acquisition, operational efficiency and other……",162,10,10,10.0
DataBuzz Ltd,Telangana,20 ,"As a Data Engineer, you will be responsible for implementing data pipelines, optimizing data architecture, and ensuring the seamless flow of information within……",161,20,20,20.0
SSP Technology,Pune,4 - 8 ,"Expert in Python, with knowledge of at least one Python web framework such as Django, Flask, etc depending on your technology stack.…",133,4,8,6.0
Aureus Analytics,Mumbai,7 - 8 ,"Experience in working closely with business users to understand their requirements, evaluate available data sources, and suggest data science-based solutions to……",162,7,8,7.5
Wisdom college for creativity & design,Calcutta,15 - 20 ,Acquire data from primary or secondary data sources and maintain databases/data systems. Use statistical methods to analyze data and generate useful business……,159,15,20,17.5
AMNEX INFOTECHNOLOGIES,Ahmedabad,2 ,"Algorithm Development, Image Processing, API, web development, data analytics. The candidate should have experience in image processing and large volume data……",159,2,2,2.0
Thinkproject Holding GmbH,Pune,5 - 8 ,"Develop predictive models, algorithms, and data-driven solutions to address business challenges and enhance decision-making processes.…",135,5,8,6.5
